A Brighter Day	2	5	7	9	12	5	7	10	12
ABSOLUTE	3	4	8	11	-	4	7	11	-
Abyss	3	4	7	10	-	5	8	11	-
ACE FOR ACES	4	7	13	15	18	7	13	15	18
Ace out	3	5	9	14	14	5	9	13	14
Across the nightmare	7	8	10	12	13	8	11	13	13
ACROSS WORLD	2	4	8	12	14	4	8	12	14
actualization of self (weaponized)	4	9	13	16	-	8	13	16	-
Adularia	3	6	10	14	-	6	9	13	-
ÆTHER	6	9	14	17	-	10	14	17	-
AFRONOVA	5	7	9	13	-	8	9	13	-
AFRONOVA PRIMEVAL	4	7	9	12	-	7	9	13	-
Afterimage d'automne	4	8	11	14	-	8	11	15	-
Aftermath	5	9	12	16	-	9	12	16	-
aftershock!!	3	5	9	13	-	5	9	13	-
AFTER THE GAME OF LOVE	1	2	6	8	-	5	6	8	-
A Geisha's Dream	2	6	9	11	-	7	9	11	-
Ah La La La	1	5	7	12	-	5	7	11	-
AI	5	9	12	16	-	10	12	15	-
air	3	5	7	10	-	5	7	11	-
Air Heroes	3	9	11	15	18	9	11	15	17
ALGORITHM	5	7	11	13	-	7	10	13	-
ALL MY HEART -この恋に、わたしの全てを賭ける-	3	5	9	13	-	5	9	13	-
All My Love	2	5	8	10	-	5	9	11	-
Alone	2	5	9	12	-	5	9	12	-
ALPACORE	4	9	12	16	17	9	12	16	17
Amalgamation	3	7	10	13	15	7	10	13	15
AM-3P	3	7	8	11	-	8	9	10	-
AM-3P -303 BASS MIX-	4	4	9	10	-	5	8	10	-
Angelic Jelly	4	6	11	13	-	6	10	13	-
ANNIVERSARY ∴∵∴ ←↓↑→	4	7	12	16	-	7	12	16	-
Another Phase	4	7	11	15	16	7	11	15	15
Anthurium	4	6	10	13	-	6	10	13	-
ANTI ANTHEM	5	9	13	15	-	9	12	16	-
Anti-Matter	6	11	14	17	18	11	15	17	18
Arrabbiata	5	11	13	15	-	12	14	16	-
Astrogazer	3	7	12	15	18	7	12	15	18
A Stupid Barber	3	4	8	9	-	4	8	9	-
A thing called LOVE	3	4	7	10	-	5	6	11	-
Avenger	4	10	14	17	18	10	14	17	18
AWAKE	3	5	10	13	16	6	10	13	16
Awakening Wings	2	5	10	11	-	5	10	11	-
BABY BABY GIMME YOUR LOVE	1	2	4	7	-	3	5	8	-
Back In Your Arms	2	5	8	10	-	5	8	10	-
Bad Apple!! feat. nomico	3	5	8	12	-	5	9	11	-
Bad Routine	3	5	7	9	-	4	8	9	-
bag	2	7	11	13	13	7	12	13	13
Baile Le Samba	1	3	10	11	-	3	6	10	-
BALLAD FOR YOU～想いの雨～	2	5	7	8	-	4	7	9	-
BALLAD THE FEATHERS	1	4	7	10	8	4	7	11	8
Bang Pad(Werk Mix)	3	6	9	13	-	6	9	13	-
bass 2 bass	2	5	9	12	-	5	10	12	-
Be a Hero!	7	9	13	17	-	10	14	17	-
Beautiful Dream	3	7	9	12	15	7	9	12	15
Beautiful Inside (Cube::Hard Mix)	3	5	7	10	-	4	7	11	-
BE LOVIN	4	5	9	12	-	5	10	12	-
Beluga	1	4	7	11	-	4	7	11	-
Better Than Me	4	8	12	15	-	7	12	15	-
BITTER CHOCOLATE STRIKER	3	6	10	14	17	6	10	14	17
Black Emperor	5	9	14	17	18	9	14	17	18
BLACK JACKAL	3	7	11	15	-	7	11	15	-
BLAKE	3	7	11	14	-	7	11	14	-
Blew My Mind	4	9	12	16	18	9	12	16	18
Blind Justice ～Torn souls, Hurt Faiths ～	3	5	8	12	-	5	8	12	-
Bloody Tears(IIDX EDITION)	4	5	6	11	-	5	7	11	-
BLSTR	3	9	12	16	-	9	12	16	-
Blue Rain	2	5	6	11	-	5	7	11	-
Bombay Bomb	2	6	10	12	-	6	10	12	-
Boss Rush	4	10	14	16	-	10	14	16	-
Bounce Trippy	4	8	11	14	-	8	11	14	-
Brazilian Anthem	3	5	8	12	-	5	8	10	-
BRE∀K DOWN！	3	5	8	12	-	5	8	13	-
BRIDAL FESTIVAL !!!	2	5	10	13	-	5	11	13	-
BRILLIANT 2U	3	6	6	10	10	6	7	9	10
BRILLIANT 2U (AKBK MIX)	3	7	11	15	-	7	11	15	-
BRILLIANT 2U(Orchestra Groove)	4	6	8	9	12	6	8	9	12
BROKEN MY HEART	3	5	7	12	-	5	9	12	-
BURNING HEAT！（3 Option MIX）	3	4	8	13	-	4	7	12	-
BURNIN' THE FLOOR	3	5	8	10	-	5	7	10	-
BUTTERFLY (20th Anniversary Mix)	3	6	9	12	-	6	10	12	-
B4U	3	5	7	10	-	5	8	10	-
B4U (The Acolyte mix)	2	4	9	13	-	4	9	13	-
cachaca	1	3	7	12	-	4	9	11	-
Can Be Real	3	4	6	10	-	3	6	10	-
CANDY♡	4	5	7	10	-	4	6	10	-
CANDY☆	4	6	7	11	-	5	8	11	-
CAN'T STOP FALLIN' IN LOVE	3	5	6	11	-	5	6	12	-
CAN'T STOP FALLIN' IN LOVE ～SPEED MIX～	4	6	9	12	-	5	9	12	-
CAN'T STOP FALLIN' IN LOVE -super euro version-	3	4	7	8	-	2	5	8	-
CaptivAte～誓い～	4	5	8	13	-	5	8	13	-
CARTOON HEROES (20th Anniversary Mix)	4	9	14	16	-	10	13	16	-
Catch Our Fire!	5	10	13	17	-	9	14	18	-
CELEBRATE NITE	3	6	8	11	-	6	8	10	-
CENTAUR	4	6	9	12	-	6	9	12	-
CG Project	3	5	9	12	-	5	9	13	-
Chance and Dice	3	5	7	9	-	4	7	10	-
CHAOS	6	8	12	14	16	9	12	14	15
CHAOS Terror-Tech Mix	5	8	12	15	17	8	12	15	18
chaos eater	6	8	12	16	-	8	12	16	-
Children of the Beat	3	7	9	11	12	7	9	10	13
Chinese Snowy Dance	4	7	12	16	-	7	12	16	-
CHOCOLATE PHILOSOPHY	2	4	8	9	12	4	8	10	12
Chronos	1	4	8	12	15	4	8	12	15
Chronos (walk with you remix)	3	7	10	14	-	6	10	14	-
City Never Sleeps	4	7	12	15	-	7	12	15	-
Clarity	2	4	7	9	-	4	7	9	-
Cleopatrysm	4	7	11	15	-	7	11	15	-
Colors ～for EXTREME～	3	5	8	9	13	5	7	10	13
Come Back To Me	3	7	11	14	-	7	11	14	-
COME BACK TO MY HEART	2	5	8	12	6	5	8	12	6
Come to Life	4	8	12	16	18	8	13	16	18
Condor	2	6	9	13	15	6	9	13	15
Confession	2	4	7	12	14	4	7	12	14
CONNECT-	2	5	10	13	-	5	10	14	-
Cosmic Hurricane	3	6	9	13	15	6	9	13	15
Cosy Catastrophe	6	9	13	16	18	10	13	16	18
Crazy Control	1	4	6	9	12	4	7	10	12
Crazy Hot	3	6	10	13	-	6	10	13	-
CRAZY♥LOVE	3	6	12	15	-	7	12	15	-
Crazy Shuffle	2	5	10	13	-	5	10	13	-
CROSS	1	5	10	13	-	5	10	14	-
CURUS	2	3	7	10	-	4	5	12	-
CUTIE CHASER	3	5	7	10	-	5	7	10	-
CUTIE CHASER(MORNING MIX)	3	3	4	9	-	4	6	9	-
CyberConnect	2	7	11	15	-	7	11	15	-
Cytokinesis	4	8	10	14	-	8	10	14	-
Daily Lunch Special	3	7	10	14	-	7	10	14	-
DANCE ALL NIGHT (DDR EDITION)	1	5	8	10	-	5	8	10	-
Dance Celebration	2	5	8	11	12	6	7	11	12
Dance Celebration (System 7 Remix)	3	6	9	13	-	7	8	13	-
Dance Dance Revolution	5	6	8	12	12	6	8	12	11
Dance Floor	2	5	6	9	-	5	7	10	-
Dance Partay	2	5	7	11	13	5	8	11	12
Dance Phenomena	3	5	10	12	-	5	10	12	-
Dancer in the flare	3	6	10	13	-	6	11	13	-
DANCERUSH STARDOM ANTHEM	2	5	8	11	-	5	8	11	-
dazzle	2	4	8	10	-	4	8	10	-
Dazzlin' Darlin	2	6	9	11	-	6	10	12	-
Dazzlin' Darlin-秋葉工房mix-	3	5	8	11	-	5	7	12	-
DDR MEGAMIX	6	8	13	15	16	8	13	16	17
DDR TAGMIX -LAST DanceR-	6	11	14	17	-	11	14	17	-
DEAD END	4	7	10	12	-	8	9	13	-
Dead Heat	4	6	10	14	-	6	10	14	-
DEADLOCK -Out Of Reach-	5	9	13	17	-	9	13	17	-
Decade	2	5	8	11	-	5	8	12	-
Deep tenDon Reflex	3	7	11	15	17	7	11	15	17
ΔMAX	3	5	13	17	17	8	14	17	18
Desert Journey	3	5	8	12	15	5	8	12	15
Destination	4	9	12	15	-	9	12	15	-
DESTINY	3	3	7	10	-	3	8	11	-
Destiny lovers	3	4	7	13	-	4	7	12	-
DeStRuCtIvE FoRcE	2	6	9	13	-	6	9	13	-
Determination	2	5	8	14	-	6	9	14	-
Diamond Dust	1	5	7	10	13	5	8	11	13
Diamond Night	3	5	8	12	14	5	8	11	14
DIGITALIZER	4	8	12	17	-	8	12	16	-
DIGITAL LUV	2	5	9	12	-	5	9	12	-
Din Don Dan	2	5	7	10	12	5	7	10	12
dirty digital	1	4	7	11	13	4	7	11	13
Dispersion Star	3	5	9	13	-	5	9	14	-
District of the Shadows	3	6	12	16	-	7	12	16	-
DIVE TO THE NIGHT	3	4	8	11	-	5	9	12	-
DoLL	4	5	8	12	13	5	8	12	14
Don't Stop!～AMD 2nd MIX～	3	5	6	10	-	4	5	8	-
Do The Evolution	1	4	7	10	-	5	9	13	-
DOWNER & UPPER	3	6	9	13	10	6	10	13	10
Dragon Blade	5	9	10	11	-	9	11	11	-
Draw the Savage	2	6	10	14	-	6	10	14	-
Dreamin’	2	4	6	9	12	5	6	9	12
dreaming can make a wish come true	2	4	7	11	-	4	8	11	-
DREAMING-ING!!	3	6	10	12	-	6	10	12	-
Dream Machine	3	6	8	11	-	5	8	11	-
dream of love	3	3	6	8	-	5	7	8	-
♡Drive My Heart♡	2	5	8	13	-	5	8	13	-
DROP	1	4	7	11	-	4	7	13	-
DROP OUT	4	8	10	13	-	6	9	13	-
DROP THE BOMB	3	5	7	10	-	6	8	10	-
DROP THE BOMB(SyS.F. Mix)	3	5	7	10	-	4	5	10	-
Drop The Bounce	3	7	10	15	-	8	11	15	-
Dummy	2	4	7	10	-	4	7	11	-
DXY!	5	6	9	12	-	6	9	12	-
DYNAMITE RAVE	3	6	10	12	12	6	7	11	12
D2R	3	4	7	11	-	4	8	11	-
ECSTASY	4	5	8	10	-	6	8	11	-
EGOISM 440	9	10	13	18	19	10	14	17	19
Electric Dance System Music	2	5	10	14	-	6	10	14	-
Electrified	3	4	6	10	-	5	6	11	-
Electronic or Treat!	3	7	12	15	-	7	12	15	-
Electro Tuned ( the SubS Mix )	4	6	9	12	-	5	9	11	-
Elemental Creation	8	11	14	17	18	11	14	17	18
Elysium	1	5	8	11	13	5	8	11	13
Emera	3	6	11	15	17	7	11	15	18
e-motion	2	5	6	8	-	6	8	11	-
Empathetic	4	7	11	14	-	7	11	14	-
ENDLESS	2	6	9	13	-	6	9	13	-
ENDYMION	9	13	15	18	19	13	15	18	19
Engraved Mark	3	8	12	15	-	8	13	15	-
era (nostalmix)	4	5	8	11	-	5	7	11	-
escape	3	5	8	10	13	5	8	10	14
esrev:eR	2	5	9	13	-	5	9	12	-
Eternal Summer	2	6	9	13	-	6	9	13	-
Evans	5	10	14	17	-	10	14	17	-
ever snow	2	4	8	12	-	4	8	11	-
Every Day, Every Night(NM STYLE)	3	4	6	9	-	4	7	10	-
Everything I Need	1	4	6	9	-	4	6	9	-
exotic ethnic	4	5	8	13	-	5	9	13	-
Far east nightbird	4	6	10	12	-	6	10	13	-
Far east nightbird kors k Remix -DDR edit ver-	3	7	11	13	-	7	11	13	-
Fascination ～eternal love mix～	9	11	13	16	18	10	13	17	17
Fascination MAXX	6	11	13	17	18	10	13	17	18
F4SH10N	2	6	10	14	-	6	11	14	-
Feelings Won't Fade(Extend Trance Mix)	4	5	8	12	-	5	9	12	-
Feidie	2	6	8	10	-	6	8	10	-
Fever	1	4	7	9	-	4	6	9	-
Find The Way	3	7	10	12	-	6	10	12	-
Find You Again	3	5	9	12	-	5	8	13	-
FIRE	4	5	8	11	-	4	8	12	-
FIRE FIRE	3	5	8	14	-	5	8	13	-
Firestorm	5	8	13	16	16	8	13	16	16
First Time	4	7	11	15	18	7	11	15	18
Fleur	4	9	12	16	-	9	12	16	-
Flight of the Phoenix	2	5	7	9	7	4	6	9	7
Flourish	3	5	8	10	-	6	8	10	-
Flow	4	5	9	12	-	6	9	11	-
Flow (True Style)	4	6	9	12	13	6	9	12	14
Flow (Jammin' Ragga Mix)	4	5	8	13	-	4	7	13	-
FLOWER	3	7	10	13	15	6	9	13	15
Fly away	3	4	7	11	-	3	8	11	-
Fly away -mix del matador-	3	5	9	13	-	5	9	13	-
